검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,"""임원은 32% 올릴 때 직원은 2.9%"" 카카오 노조, 파업 앞두고 '강공'",https://news.google.com/rss/articles/CBMibEFVX3lxTE9lZTMwTE1GMkpuSERiRWwwRm5TMHM4cllIdFJMUXpHdUs4WVZFNkdYSXFBUlg3Z3hubTdKVlpxZ29ZOXQ5c04tZXNaRXhicnl4N3BKMUJaZ25HbXFVQmIybjNWaERua3Y5b1FrQQ?oc=5,the-biz.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 환경의 날 맞아 폐현수막 재활용 캠페인 진행",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1ieml3djc5bURLYk5CWGlhZFJMN01xOFlkVmh6MF8xVzlZRTBxaVllempiN0JGUktueDZLSVMtMThTNmNGZjJhekN0YmU1S3VhNHNBRkJwTGhJakRFcGx6RTBYSmg4dUp1?oc=5,직썰,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이, 사용자와 함께 제주 곶자왈 기금 1000만원 기부",https://news.google.com/rss/articles/CBMiX0FVX3lxTE5CZG4zN2hYU0xUcV9GSVRwdHZONmxRVWhicnBlWkRSUVE4bHBEc2doS2RtWWQ0S1VTZ2RPYlVONlhvenJEYmQtdWhNU2lxd3ZhRGUtcFNQTVloRnEyMEM0?oc=5,뉴스1,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 세계 환경의 날 맞아 친환경 자원 순환 캠페인 전개",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE82X0RSMkFIalNmNU0xWldhSTI2VWx3SnpyVWQxdnd2bmppUG1CUTQyRVd1US1GZjVGRFlBc3c4VmcwSWpVWGdZN24yUURHUnAzSnRETXVrRG11RDN0YlpzVHNTb2RZdzA?oc=5,2news.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"이용자와 함께 만든 1000만원···카카오페이, 곶자왈 후원",https://news.google.com/rss/articles/CBMibkFVX3lxTE94NE45Wjlyd09HVTNNSWpVa2tKZ296MUVjUnJJNWZTVDZmdjV6bTY1bERYbjVaTUd5WVVtaFRhcjVXVm5ZNXN3a2E3S0ZMTFNXdVdIT0NYMl9PSXczT1QwQjk0a19jZkRDejFydmlR?oc=5,더리포트,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"창사 첫 파업 맞은 카카오, ‘AI 올인’ 앞두고 조직력 내상 우려",https://news.google.com/rss/articles/CBMibkFVX3lxTE4yRmhUTGZwZkF3OUoxOFZSMTU3blZsLVFfZ2JDbmFaZExDRmZMcktwQi1GbVFUTTJ5S0sxcElnUVpCVGVTbDd5R2tjd1NfdDlwcFBWNzRsZXhRZEJtWkxWSkZ2VVBBLWFhOXFuLWR30gFuQVVfeXFMTjJGaFRMZnBmQXc5SjE4VlIxNTduVmwtUV9nYkNuYVpkTENGZkxyS3BCLUZtUVRNMnlLSzFwSWdRWkJUZVNsN3lHa2N3U190OXBwUFY3NGxleFFkQm1aTFZKRnZVUEEtYWE5cW4tZHc?oc=5,파이낸셜투데이,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이, 세계 환경의 날 맞아 사용자와 함께 제주 곶자왈 공유화 기금 1천만원 전달",https://news.google.com/rss/articles/CBMicEFVX3lxTE9OeVNMMUFzMHdJcUpxdUQ2X2xvMTd6SXhhQVdHeXA0Rm9nbWJyWF9TSG5KcF93WU1lTTZ2TjVYejE3VlBEcnl3SzlWQy05N1hCc2xQWEMzQkFMZEZhWDlwTGcxSGtrclI3elBYYlNVMUs?oc=5,코리아리포트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,"카카오, 세계 환경의 날 맞이 친환경 캠페인 활동 전개",https://news.google.com/rss/articles/CBMiaEFVX3lxTE04cnpkYkJqWVAzZ2tXSUNDUEFvLWxaUTBXVkRUemV2WXBOVGxHblNydDlRWXR4cHd1TnVYVVc1ODBrWTlVeXdjVU80bG02YzhKZGtDVUw0alhqZTMwdE5Ib2tXNHRsZFZY0gFrQVVfeXFMT18zQktQZEdsa0NkTlQ2c0NCdzl6TDVLMFhoQ2tKOFZNU0hYNDlkRXBVU202U29pVHE2MjJKVmxQdTZpZGQzM1pWNjVoR2M0S0JablhNRWw1YzM5eVQ4ZmpuNUQ2ZUZrWkFNRVk?oc=5,현대경제신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"[성과배분 쟁점] 카카오, 창사 첫 본사 파업 기로…'중대성 평가' 바뀌나",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBpMlY1QXNUY1U1cmVmdzhGeHZCMFFvbGxvbE5CSTY0dU5wbDRLOHFlRUpVdDl0NVowVlB6c3RqYnRRci1PdUNUZFVkRGM2SDVSSFdBeTB1VHQ4Z1RFMHhJWWhXVmFueEZq?oc=5,fetv.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"“젠지 세대 신드롬급 인기” 카카오엔터 대표 팬덤 IP 백덕수 작가 ‘괴담에 떨어져도 출근을 해야 하는구나’ 웹툰 공식 론칭! ‘흑막을 버리는 데 실패했다’ 쓩늉 작가 작화, 뛰어난 완성도로 원작 세계관 완벽 구현",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9nZHZTa0syZjEtZklVMDJvYlU4WmY2RkNTeTQyYVlHamNYSUFnbzFHbW1CMmZFOHBTM0VRQ1ItWnBGcnRSYVBvTTlBbWtFVUw1LTJoUDd4UXgwVlVCekVLb2dONUxMTWc?oc=5,mstoday.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
